,Precio,Fecha
0,total:3299,2024-10-12T05:50:00-03:
0,original:3299,2024-10-12T05:50:00-03:
0,average:3299,2024-10-12T05:50:00-03:
0,total_with_platform_fee:3599,2024-10-12T05:50:00-03:
0,average_with_platform_fee:3599,2024-10-12T05:50:00-03:
1,total:3099,2024-10-12T06:15:00-03:
1,original:3099,2024-10-12T06:15:00-03:
1,average:3099,2024-10-12T06:15:00-03:
1,total_with_platform_fee:3399,2024-10-12T06:15:00-03:
1,average_with_platform_fee:3399,2024-10-12T06:15:00-03:
2,total:3099,2024-10-12T06:40:00-03:
2,original:3099,2024-10-12T06:40:00-03:
2,average:3099,2024-10-12T06:40:00-03:
2,total_with_platform_fee:3399,2024-10-12T06:40:00-03:
2,average_with_platform_fee:3399,2024-10-12T06:40:00-03:
3,total:3399,2024-10-12T06:45:00-03:
3,original:3399,2024-10-12T06:45:00-03:
3,average:3399,2024-10-12T06:45:00-03:
3,total_with_platform_fee:3699,2024-10-12T06:45:00-03:
3,average_with_platform_fee:3699,2024-10-12T06:45:00-03:
4,total:3399,2024-10-12T07:10:00-03:
4,original:3399,2024-10-12T07:10:00-03:
4,average:3399,2024-10-12T07:10:00-03:
4,total_with_platform_fee:3699,2024-10-12T07:10:00-03:
4,average_with_platform_fee:3699,2024-10-12T07:10:00-03:
5,total:3799,2024-10-12T07:15:00-03:
5,original:3799,2024-10-12T07:15:00-03:
5,average:3799,2024-10-12T07:15:00-03:
5,total_with_platform_fee:4099,2024-10-12T07:15:00-03:
5,average_with_platform_fee:4099,2024-10-12T07:15:00-03:
6,total:3799,2024-10-12T07:40:00-03:
6,original:3799,2024-10-12T07:40:00-03:
6,average:3799,2024-10-12T07:40:00-03:
6,total_with_platform_fee:4099,2024-10-12T07:40:00-03:
6,average_with_platform_fee:4099,2024-10-12T07:40:00-03:
7,total:4399,2024-10-12T07:45:00-03:
7,original:4399,2024-10-12T07:45:00-03:
7,average:4399,2024-10-12T07:45:00-03:
7,total_with_platform_fee:4699,2024-10-12T07:45:00-03:
7,average_with_platform_fee:4699,2024-10-12T07:45:00-03:
8,total:4399,2024-10-12T08:10:00-03:
8,original:4399,2024-10-12T08:10:00-03:
8,average:4399,2024-10-12T08:10:00-03:
8,total_with_platform_fee:4699,2024-10-12T08:10:00-03:
8,average_with_platform_fee:4699,2024-10-12T08:10:00-03:
9,total:4599,2024-10-12T08:15:00-03:
9,original:4599,2024-10-12T08:15:00-03:
9,average:4599,2024-10-12T08:15:00-03:
9,total_with_platform_fee:4899,2024-10-12T08:15:00-03:
9,average_with_platform_fee:4899,2024-10-12T08:15:00-03:
10,total:4599,2024-10-12T08:40:00-03:
10,original:4599,2024-10-12T08:40:00-03:
10,average:4599,2024-10-12T08:40:00-03:
10,total_with_platform_fee:4899,2024-10-12T08:40:00-03:
10,average_with_platform_fee:4899,2024-10-12T08:40:00-03:
11,total:5699,2024-10-12T08:45:00-03:
11,original:5699,2024-10-12T08:45:00-03:
11,average:5699,2024-10-12T08:45:00-03:
11,total_with_platform_fee:5999,2024-10-12T08:45:00-03:
11,average_with_platform_fee:5999,2024-10-12T08:45:00-03:
12,total:5699,2024-10-12T09:10:00-03:
12,original:5699,2024-10-12T09:10:00-03:
12,average:5699,2024-10-12T09:10:00-03:
12,total_with_platform_fee:5999,2024-10-12T09:10:00-03:
12,average_with_platform_fee:5999,2024-10-12T09:10:00-03:
13,total:6199,2024-10-12T09:15:00-03:
13,original:6199,2024-10-12T09:15:00-03:
13,average:6199,2024-10-12T09:15:00-03:
13,total_with_platform_fee:6499,2024-10-12T09:15:00-03:
13,average_with_platform_fee:6499,2024-10-12T09:15:00-03:
14,total:6199,2024-10-12T09:40:00-03:
14,original:6199,2024-10-12T09:40:00-03:
14,average:6199,2024-10-12T09:40:00-03:
14,total_with_platform_fee:6499,2024-10-12T09:40:00-03:
14,average_with_platform_fee:6499,2024-10-12T09:40:00-03:
15,total:3999,2024-10-12T09:45:00-03:
15,original:3999,2024-10-12T09:45:00-03:
15,average:3999,2024-10-12T09:45:00-03:
15,total_with_platform_fee:4299,2024-10-12T09:45:00-03:
15,average_with_platform_fee:4299,2024-10-12T09:45:00-03:
16,total:3999,2024-10-12T10:10:00-03:
16,original:3999,2024-10-12T10:10:00-03:
16,average:3999,2024-10-12T10:10:00-03:
16,total_with_platform_fee:4299,2024-10-12T10:10:00-03:
16,average_with_platform_fee:4299,2024-10-12T10:10:00-03:
17,total:3999,2024-10-12T10:15:00-03:
17,original:3999,2024-10-12T10:15:00-03:
17,average:3999,2024-10-12T10:15:00-03:
17,total_with_platform_fee:4299,2024-10-12T10:15:00-03:
17,average_with_platform_fee:4299,2024-10-12T10:15:00-03:
18,total:3999,2024-10-12T10:40:00-03:
18,original:3999,2024-10-12T10:40:00-03:
18,average:3999,2024-10-12T10:40:00-03:
18,total_with_platform_fee:4299,2024-10-12T10:40:00-03:
18,average_with_platform_fee:4299,2024-10-12T10:40:00-03:
19,total:3399,2024-10-12T10:45:00-03:
19,original:3399,2024-10-12T10:45:00-03:
19,average:3399,2024-10-12T10:45:00-03:
